ticker;name;isin;country;currency;gics_sector_name;industry_group;region_en;Weight in MSCI World;Annualized return 20Y;Annualized return 10Y;Annualized return 5Y;Annualized return 1Y;Volatility 20Y;Volatility 10Y;Volatility 5Y;Volatility 1Y;Sharpe 20Y;Sharpe 10Y;Sharpe 5Y;Sharpe 1Y;VaR 99% 20Y;VaR 99% 10Y;VaR 99% 5Y;VaR 99% 1Y;VaR 95% 20Y;VaR 95% 10Y;VaR 95% 5Y;VaR 95% 1Y;CVaR 95% 20Y;CVaR 95% 10Y;CVaR 95% 5Y;CVaR 95% 1Y;Max drawdown 20Y;Max drawdown 10Y;Max drawdown 5Y;Max drawdown 1Y;ROA;ROE;ROIC;Net margin;Gross margin;Dividend payout ratio;Dividend yield;FCF yield;Debt assets;Quick ratio;Current ratio;PE ratio;PB ratio;PS ratio;PCF ratio;ITR;S1_ITR;S2_ITR;S3_ITR;CBN_LCT_SCORE;IVA_COMPANY_RATING;E_SCORE;S_SCORE;G_SCORE;E_CONTROVERSY;S_CONTROVERSY;G_CONTROVERSY;SDG_01_NET_ALIGNMENT_SCORE;SDG_02_NET_ALIGNMENT_SCORE;SDG_03_NET_ALIGNMENT_SCORE;SDG_04_NET_ALIGNMENT_SCORE;SDG_05_NET_ALIGNMENT_SCORE;SDG_06_NET_ALIGNMENT_SCORE;SDG_07_NET_ALIGNMENT_SCORE;SDG_08_NET_ALIGNMENT_SCORE;SDG_09_NET_ALIGNMENT_SCORE;SDG_10_NET_ALIGNMENT_SCORE;SDG_11_NET_ALIGNMENT_SCORE;SDG_12_NET_ALIGNMENT_SCORE;SDG_13_NET_ALIGNMENT_SCORE;SDG_14_NET_ALIGNMENT_SCORE;SDG_15_NET_ALIGNMENT_SCORE;SDG_16_NET_ALIGNMENT_SCORE;SDG_17_NET_ALIGNMENT_SCORE;EST_EU_TAXONOMY_MAX_REV;EU_TAXONOMY_ELIGIBLE_MAX_REV;CWEAP_TIE;TOB_PRODUCER;REP_EU_TAXONOMY_CAPEX_ELIGIBLE;REP_EU_TAXONOMY_OPEX_ELIGIBLE;CT_TOTAL_MAX_REV;SCOPE_1;SCOPE_2;SCOPE_3;FOOTPRINT_SCOPE_1;FOOTPRINT_SCOPE_2;FOOTPRINT_SCOPE_3;INTENSITY_SCOPE_1;INTENSITY_SCOPE_2;INTENSITY_SCOPE_3;EV;SALES
AAPL US Equity;Apple Inc;US0378331005;UNITED STATES;USD;Information Technology;Computers;North America;0.053559559;0.328073435;0.27102111;0.296786139;0.380284486;0.321920228;0.288541045;0.309546892;0.219612533;1.019114071;0.939280963;0.958776026;1.73161559;-0.053998231;-0.048908873;-0.049697787;-0.030550775;-0.030139148;-0.027470106;-0.028703026;-0.020474198;-0.045650809;-0.040840155;-0.043227232;-0.029170322;-0.561284828;-0.381233396;-0.31232426;-0.140793604;26.12620773;157.4125076;58.186423;23.97125577;46.20634982;16.14524127;0.430221;2.66604;32.62069154;0.826006848;0.867312577;37.5278;60.4644;8.87943;29.362;1.7;1.3;1.3;1.7;6.06;BBB;4;4.5;4.6;10;1;4;-2.5;0;-1.5;-2;0;2;1;-1;-3;-1;0;1.5;2;0;0;-1;-5;0;100;;0;;;0;55200;3400;169817382.8;0.068730614;0.004233407;211.44299;0.146147463;0.009001836;449.6083271;3405821.354;377700.7065
NVDA US Equity;NVIDIA Corp;US67066G1040;UNITED STATES;USD;Information Technology;Semiconductors;North America;0.04613186;0.396704855;0.757907682;0.872255648;1.809991408;0.478147397;0.483318338;0.524747755;0.518071325;0.829670636;1.56813351;1.66223798;3.493710848;-0.074084707;-0.071090558;-0.072150491;-0.070105198;-0.043822598;-0.044537566;-0.049501397;-0.048984068;-0.065261966;-0.064430718;-0.067599777;-0.067519921;-0.829752153;-0.609260433;-0.609260433;-0.282690481;84.00849755;127.211488;106.3068833;55.68513892;75.86100345;1.102926695;0.0197824;1.59298;10.64959953;3.640148067;4.104617999;55.7529;52.639;30.9574;59.4737;2.7;1.3;1.3;2.8;8.49;AAA;6.2;8;5.6;10;4;6;0.5;0;0;0.5;2.5;1;2;2.5;1.5;2.5;0;6.5;2;0;0;1;2;78.01;100;;0;;;78.01;14390;178087;27507573.61;0.018163555;0.224787559;34.72100891;0.131527802;1.627754803;251.4253431;3359641.675;109406.5271
MSFT US Equity;Microsoft Corp;US5949181045;UNITED STATES;USD;Information Technology;Software;North America;0.04568332;0.175149588;0.274140315;0.238476533;0.195389268;0.271231519;0.276572728;0.300308924;0.203173456;0.645756764;0.991205157;0.794104051;0.961686983;-0.04400212;-0.045724513;-0.046435499;-0.03530697;-0.025289959;-0.026436136;-0.028983847;-0.022939924;-0.038688516;-0.039469049;-0.042607374;-0.032083569;-0.522960275;-0.301209847;-0.301209847;-0.163479469;18.68542255;35.6040178;27.07820075;35.60800976;69.34930564;25.42114081;0.71578;1.56698;18.51540975;1.287326389;1.301440972;35.5153;11.1208;12.6454;26.3158;1.4;1.3;10;1.4;7.66;AA;8.1;5.3;4;10;2;4;-2;0;0;0;2;1;0;1;-3;0.5;0;3.5;0.5;0;0;-1.5;-4;22.73;44.09;;0;;;22.73;144960;8077403;35609714.19;0.196868806;10.96984465;48.36121618;0.590415232;32.89888083;145.0366836;3122513.225;245522.121
AMZN US Equity;Amazon.com Inc;US0231351067;UNITED STATES;USD;Consumer Discretionary;Internet;North America;0.029924973;0.270147083;0.316961418;0.202801493;0.521709806;0.376834523;0.329478509;0.353293151;0.28931686;0.716885175;0.962009383;0.57403177;1.803247159;-0.059314227;-0.054615623;-0.058748509;-0.038582935;-0.031638972;-0.030548962;-0.032142168;-0.025941346;-0.050684329;-0.045545199;-0.048268391;-0.037521812;-0.602049527;-0.526842139;-0.526842139;-0.210039963;9.307994613;22.55837729;13.97244345;8.041565612;48.40613551;0;0;2.14738;25.76587425;0.865070567;1.088650396;39.9327;7.55743;3.22555;17.7475;2.6;2.4;2.6;2.6;6.31;BBB;6.4;4.5;4.9;10;1;4;-0.5;0.5;-1;-1;0;1;1;-1.5;-3;-1.5;0;1.5;0.5;-0.5;-0.5;-2.5;-5;0;15.79;;0;;;6.2;14270000;2790000;163981518;30.42396024;5.948342611;349.6122764;23.82376881;4.657905745;273.7671882;1989029.575;598981.6352
GOOGL US Equity;Alphabet Inc;US02079K3059;UNITED STATES;USD;Communication Services;Internet;North America;0.029302364;0.213827805;0.23186219;0.245337196;0.435447239;0.300529655;0.288405887;0.318508238;0.280872153;0.711503179;0.803944027;0.770269547;1.550339662;-0.050240048;-0.048703021;-0.053176728;-0.04741721;-0.027918786;-0.028267338;-0.030977611;-0.026192509;-0.042948894;-0.041391829;-0.045889775;-0.040381634;-0.610058605;-0.385973799;-0.385973799;-0.23519829;22.79845751;32.10135514;29.56981068;29.80249516;58.67015671;5.306095377;0.241182;2.47134;6.807184393;1.949692462;1.949692462;22.0004;6.4752;6.06652;19.5973;1.4;1.3;2.2;1.4;6.66;BBB;7.5;4.7;2.5;10;2;10;-2;0;0;-0.5;1;1.5;1;-0.5;-2.5;-0.5;-0.5;1.5;0.5;0;0;-1.5;-5;2.99;10.76;;0;;;2.99;79400;3423400;36621129.66;0.174668749;7.530994921;80.56129622;0.242117138;10.43909083;111.6700645;1927694.925;327940.4362
META US Equity;Meta Platforms Inc;US30303M1027;UNITED STATES;USD;Communication Services;Internet;North America;0.018632265;0.155604876;0.237973338;0.24752879;0.742496788;0.398504308;0.375861606;0.440860203;0.366264266;0.390472255;0.633140855;0.561467759;2.027216021;-0.062061786;-0.059855208;-0.063466055;-0.048993741;-0.035563313;-0.033711689;-0.038179995;-0.029142466;-0.055056227;-0.052848548;-0.060347914;-0.045256111;-0.717456515;-0.717456515;-0.717456515;-0.173072371;23.49951976;36.13444285;28.49878388;35.55042054;81.50051848;7.063976077;0.262036;3.25503;19.12849833;2.732283228;2.732283228;26.958;8.78167;9.52687;17.9873;1.3;1.3;1.3;1.3;6.6;B;10;3.2;2.9;10;1;3;-2.5;0;0;-0.5;2.5;0;0;0;-3.5;1;-0.5;1;1.5;0;0;-1.5;-2;0;1.41;;0;;;0;48952;1658;7445620;0.14656114;0.004964013;22.29201168;0.324403074;0.010987504;49.34184539;1416395.76;150898.6934
TSLA US Equity;Tesla Inc;US88160R1014;UNITED STATES;USD;Consumer Discretionary;Auto Manufacturers;North America;0.016461557;0.346086534;0.404516392;0.712776489;0.70732643;0.578135654;0.566749168;0.658750714;0.627841143;0.598625134;0.713748542;1.082012473;1.126600952;-0.090321444;-0.090846037;-0.10815259;-0.087889985;-0.051984848;-0.052470075;-0.060132942;-0.052978653;-0.077394042;-0.077993145;-0.088151538;-0.07647049;-0.711124393;-0.711124393;-0.711124393;-0.412731708;11.92087674;20.65366257;18.37504236;13.11682964;18.22851261;;0;0.39457;10.66565431;1.368643098;1.843836871;71.6716;11.9982;9.4176;63.1895;1.5;1.5;2.1;1.5;8.87;BBB;9.2;1.4;3;10;1;4;-2;0;-0.5;0;0;-0.5;2;-1;0.5;-2;1;4.5;2.5;-0.5;-1;-3;-1;100;100;;0;;;100;211000;466000;226752980.6;1.035798564;2.287593038;1113.129914;2.248575551;4.966048374;2416.451225;863853.6309;93837.185
AVGO US Equity;Broadcom Inc;US11135F1012;UNITED STATES;USD;Information Technology;Semiconductors;North America;0.015473307;0.317302818;0.40686499;0.529697604;1.191675489;0.363178621;0.374106279;0.410994276;0.530817384;0.873682532;1.087565254;1.288819907;2.244982031;-0.054468426;-0.054572477;-0.060836785;-0.077854479;-0.032880471;-0.033517799;-0.033512459;-0.041579316;-0.048503539;-0.04988;-0.053418179;-0.062049998;-0.485541535;-0.485541535;-0.485541535;-0.272880162;5.172196926;13.45755242;6.259260011;11.95951448;57.23620429;172.6683619;1.24615;1.18944;41.60463642;1.068155956;1.173564113;136.91;11.696;15.6494;40.4318;2.6;1.4;1.6;2.7;6.15;A;5.2;5.4;6.5;10;4;10;1;0;0;0;2.5;1;1;2;0;2;0.5;1.5;1.5;0;0;1;2;0.45;78.68;;0;;;0.45;58764;186061;13777289.32;0.297686702;0.942547912;69.79299951;1.179636951;3.735015159;276.5672788;837114.6212;49815.3266
JPM US Equity;JPMorgan Chase & Co;US46625H1005;UNITED STATES;USD;Financials;Banks;North America;0.009717458;0.12861086;0.180711015;0.151834138;0.515840218;0.35799503;0.28023418;0.321307209;0.244469362;0.359253201;0.644857153;0.472551298;2.11004035;-0.057314598;-0.046127883;-0.055759609;-0.050170953;-0.029416825;-0.024770297;-0.027605827;-0.018342719;-0.049948731;-0.039092013;-0.04525068;-0.033339581;-0.665219386;-0.421971236;-0.421971236;-0.105553833;1.318462958;16.11955242;7.327337454;19.46406723;;25.58867868;2.18154;15.105;21.01322835;;1.482953791;11.7296;1.83118;2.20048;5.72089;2.8;1.3;2.1;2.8;6.31;A;7.6;4.4;5.2;10;4;1;-1.5;0;0;0.5;2.5;1.5;1;2;0.5;-1;-0.5;0.5;1;0;0;-2;-6;0;0;;0;;;0;115294;792479;255481;0.345725075;2.376358371;0.766095269;0.434646365;2.987563246;0.963136747;1414193.508;265259.3216
LLY US Equity;Eli Lilly & Co;US5324571083;UNITED STATES;USD;Health Care;Pharmaceuticals;North America;0.009577438;0.176186708;0.304036239;0.448584402;0.405184308;0.257734157;0.288583136;0.329990952;0.305357589;0.683598598;1.053548184;1.359383944;1.326917433;-0.042503751;-0.044324925;-0.050293223;-0.047724481;-0.023269545;-0.02578263;-0.027561573;-0.030925992;-0.035759553;-0.038693749;-0.040741917;-0.042973458;-0.516642326;-0.252534056;-0.252534056;-0.211830015;12.53692264;65.74759234;23.11160937;20.48243779;80.9058495;55.02379259;0.567759;-0.390433;41.15986768;0.970868238;1.273201454;96.9141;59.1175;19.6209;132.916;1.5;1.3;1.4;1.6;6.37;A;4.5;4.4;6.2;10;2;4;1;0;2.5;0;3;2;2;1.5;-1;1.5;0;2.5;2;0;0;0;0;0;0;;0;;;0;182000;345000;7254359.33;0.963336097;1.82610414;38.3977264;4.61111322;8.740846488;183.7949022;801173.4822;39469.86147
